================================================== ====================
Name                                               RGB value
light goldenrod yellow                             fa/fa/d2
gray45                                             73/73/73
gray35                                             59/59/59
gray25                                             40/40/40
gray15                                             26/26/26
antique white                                      fa/eb/d7
deep sky blue                                      00/bf/ff
darkviolet                                         94/00/d3
cornflowerblue                                     64/95/ed
floralwhite                                        ff/fa/f0
medium spring green                                00/fa/9a
cornsilk4                                          8b/88/78
cornsilk3                                          cd/c8/b1
cornsilk2                                          ee/e8/cd
cornsilk1                                          ff/f8/dc
firebrick4                                         8b/1a/1a
firebrick3                                         cd/26/26
firebrick2                                         ee/2c/2c
firebrick1                                         ff/30/30
cornflower blue                                    64/95/ed
blueviolet                                         8a/2b/e2
midnight blue                                      19/19/70
blanched almond                                    ff/eb/cd
darkolivegreen                                     55/6b/2f
lavenderblush                                      ff/f0/f5
darkolivegreen4                                    6e/8b/3d
darkolivegreen3                                    a2/cd/5a
light pink                                         ff/b6/c1
darkolivegreen2                                    bc/ee/68
darkolivegreen1                                    ca/ff/70
grey100                                            ff/ff/ff
palevioletred                                      db/70/93
deeppink                                           ff/14/93
gray100                                            ff/ff/ff
white smoke                                        f5/f5/f5
palevioletred4                                     8b/47/5d
ghostwhite                                         f8/f8/ff
palevioletred3                                     cd/68/89
grey90                                             e5/e5/e5
palevioletred2                                     ee/79/9f
palevioletred1                                     ff/82/ab
grey80                                             cc/cc/cc
grey70                                             b3/b3/b3
gray90                                             e5/e5/e5
gray80                                             cc/cc/cc
gray70                                             b3/b3/b3
lemonchiffon                                       ff/fa/cd
lemonchiffon4                                      8b/89/70
lemonchiffon3                                      cd/c9/a5
lemonchiffon2                                      ee/e9/bf
lemonchiffon1                                      ff/fa/cd
grey60                                             99/99/99
honeydew                                           f0/ff/f0
gray60                                             99/99/99
medium turquoise                                   48/d1/cc
grey50                                             7f/7f/7f
dark violet                                        94/00/d3
medium aquamarine                                  66/cd/aa
gray50                                             7f/7f/7f
papaya whip                                        ff/ef/d5
lightpink                                          ff/b6/c1
ghost white                                        f8/f8/ff
hotpink                                            ff/69/b4
blue violet                                        8a/2b/e2
whitesmoke                                         f5/f5/f5
green yellow                                       ad/ff/2f
dark olive green                                   55/6b/2f
grey99                                             fc/fc/fc
grey89                                             e3/e3/e3
grey79                                             c9/c9/c9
gray99                                             fc/fc/fc
grey98                                             fa/fa/fa
grey97                                             f7/f7/f7
gray89                                             e3/e3/e3
grey88                                             e0/e0/e0
gray79                                             c9/c9/c9
grey78                                             c7/c7/c7
grey87                                             de/de/de
gray98                                             fa/fa/fa
grey77                                             c4/c4/c4
gray97                                             f7/f7/f7
gray88                                             e0/e0/e0
gray78                                             c7/c7/c7
gray87                                             de/de/de
gray77                                             c4/c4/c4
grey69                                             b0/b0/b0
deep pink                                          ff/14/93
gray69                                             b0/b0/b0
grey68                                             ad/ad/ad
papayawhip                                         ff/ef/d5
grey67                                             ab/ab/ab
cornsilk                                           ff/f8/dc
light yellow                                       ff/ff/e0
grey59                                             96/96/96
gray68                                             ad/ad/ad
gray67                                             ab/ab/ab
gray59                                             96/96/96
grey58                                             94/94/94
lavender blush                                     ff/f0/f5
grey57                                             91/91/91
gray58                                             94/94/94
grey96                                             f5/f5/f5
gray57                                             91/91/91
grey86                                             db/db/db
grey76                                             c2/c2/c2
hot pink                                           ff/69/b4
lemon chiffon                                      ff/fa/cd
gray96                                             f5/f5/f5
gray86                                             db/db/db
gray76                                             c2/c2/c2
firebrick                                          b2/22/22
grey95                                             f2/f2/f2
grey66                                             a8/a8/a8
grey85                                             d9/d9/d9
grey75                                             bf/bf/bf
gray95                                             f2/f2/f2
gray66                                             a8/a8/a8
dark khaki                                         bd/b7/6b
gray85                                             d9/d9/d9
gray75                                             bf/bf/bf
grey56                                             8f/8f/8f
gray56                                             8f/8f/8f
grey65                                             a6/a6/a6
mediumvioletred                                    c7/15/85
gray65                                             a6/a6/a6
grey55                                             8c/8c/8c
navajo white                                       ff/de/ad
gray55                                             8c/8c/8c
darkkhaki                                          bd/b7/6b
navajowhite                                        ff/de/ad
pale violet red                                    db/70/93
navajowhite4                                       8b/79/5e
navajowhite3                                       cd/b3/8b
navajowhite2                                       ee/cf/a1
navajowhite1                                       ff/de/ad
medium violet red                                  c7/15/85
================================================== ====================
